cyrillic,latin
"В последнее время на рынке кредитных свопов, мировым центром которого является Лондон, развернулась активная спекулятивная игра, рассчитанная на дефолт по госдолгу Греции и ряда других стран ЕС. Это подрывает кредитоспособность этих стран и мешает им привлечь новые займы для решения своих финансовых проблем.Дефолтные свопы представляют собой вид финансовых страховых контрактов. Покупатель такой ценной бумаги в обмен на выплату определенной суммы (премии) получает право на возмещение гораздо большей суммы в случае, если компания или государство, выпустившие облигации или взявшие кредит, оказываются неспособны погасить долг. Чтобы приобрести кредитный своп, не обязательно владеть облигациями или выдавать кредит, от дефолта по которым он страхует. Таким образом рынок этого вида финансовых инструментов носит крайне спекулятивный характер, превратившись в своего рода азартную игру.Рынок свопов не контролируется ни государством, ни биржами. По оценкам, стоимость рынка дефолтных свопов по долгам государств и частного сектора (общая сумма, на которую заключены страховые контракты), составляет в США $15,5 трлн., что превышает ВВП этой страны ($14,2 трлн.). Стоимость мирового рынка свопов составляет $60 трлн., что превышает ВВП всех стран мира ($55,5 трлн.), передает ИТАР-ТАСС.","V poslednee vremja na rynke kreditnyh svopov, mirovym tsentrom kotorogo javljaetsja London, razvernulas' aktivnaja spekuljativnaja igra, rasschitannaja na defolt po gosdolgu Gretsii i rjada drugih stran ES. Eto podryvaet kreditosposobnost' etih stran i meshaet im privlech' novye zajmy dlja reshenija svoih finansovyh problem.Defoltnye svopy predstavljajut soboj vid finansovyh strahovyh kontraktov. Pokupatel' takoj tsennoj bumagi v obmen na vyplatu opredelennoj summy (premii) poluchaet pravo na vozmeschenie gorazdo bol'shej summy v sluchae, esli kompanija ili gosudarstvo, vypustivshie obligatsii ili vzjavshie kredit, okazyvajutsja nesposobny pogasit' dolg. Chtoby priobresti kreditnyj svop, ne objazatel'no vladet' obligatsijami ili vydavat' kredit, ot defolta po kotorym on strahuet. Takim obrazom rynok etogo vida finansovyh instrumentov nosit krajne spekuljativnyj harakter, prevrativshis' v svoego roda azartnuju igru.Rynok svopov ne kontroliruetsja ni gosudarstvom, ni birzhami. Po otsenkam, stoimost' rynka defoltnyh svopov po dolgam gosudarstv i chastnogo sektora (obschaja summa, na kotoruju zakljucheny strahovye kontrakty), sostavljaet v SShA $15,5 trln., chto prevyshaet VVP etoj strany ($14,2 trln.). Stoimost' mirovogo rynka svopov sostavljaet $60 trln., chto prevyshaet VVP vseh stran mira ($55,5 trln.), peredaet ITAR-TASS."
"Мать погибшей потребовала с больницы миллион крон — в качестве компенсации за моральный ущерб, причиненный ей и двум оставшимся сиротами детям покойной. В конце прошлой недели Вируский уездный суд оставил иск Нины Зелениной без удовлетворения.Кроме того, она должна выплатить Нарвской больнице 25 тысяч крон. 29 октября 2003 года в Нарвской больнице Виктория родила сына Артура — роды прошли успешно, и женщина чувствовала себя хорошо. Врач, принимавший роды, дал указание медсестре Ольге Закировой ввести роженице внутривенно раствор глюкозы. Медсестра по ошибке ввела Зелениной раствор хлорида калия, после чего мгновенно наступила клиническая смерть.30 января 2004 года Нарвский городской суд признал Закирову виновной в причинении смерти по неосторожности и наказал двумя годами лишения свободы условно. Мать Виктории 52-летняя Нина является опекуном трехлетнего Артура и шестилетней Саши Зелениных. Представлявшая Зеленину в суде Евгения Тушинская обосновала иск о возмещении нематериального ущерба тем, что семья потеряла близкого и любимого человека, а дети погибшей по вине больницы лишились материнской заботы. Также мать сильнее переживала утрату из-за того, что Виктория, по словам некоторых свидетелей, после ошибочного введения лекарства жила еще в течение часа и все это время испытывала сильную мучительную боль. Выразив глубокое соболезнование матери и детям Виктории и понимание того, насколько трагичным событием для них является смерть пациентки, Нарвская больница отказалась возмещать им ущерб. А также потребовала взыскать с Нины, Артура и Александры Зелениных понесенные больницей расходы на правовую защиту в сумме 61 710 крон. 
Врачи Нарвской больницы засвидетельствовали суду, что Виктория не могла страдать в течение часа после укола, так как введение неверного препарата привело к мгновенной смерти пациентки. В течение часа после клинической смерти врачи проводили реанимационные мероприятия, не давшие результата, после чего зафиксировали смерть официально. Суд согласился с доводами защитника больницы — помощником присяжного адвоката Ингери Луйком, что истцы никак не подтвердили документально наличие моральных страданий и того, что пережитое оставило существенный след и повлекло изменения в их личности. 
Суд отметил, что сама по себе смерть близкого человека не дает оснований требовать денежной компенсации за нематериальный ущерб — согласно закону о долговом праве, это возможно лишь при условии исключительных обстоятельств. Но в данном случае таких обстоятельств суд не усматривает: обычными являются страдания людей при утрате близких, обычным — и то, что молодые люди не умирают естественным путем, обычным — что в результате смерти людей такого возраста, как Виктория, остаются сиротами маленькие дети. Суд оставил без удовлетворения иск о возмещении нематериального ущерба и счел обоснованным требование Нарвской больницы взыскать с Зелениных 25 тысяч крон за понесенные больницей расходы на правовую помощь. Нина Зеленина сказала ""Северному побережью"", что не станет обжаловать судебное решение, хотя не представляет, как сможет со своей пенсии и детских пособий выплатить 25 тысяч крон. ""Боюсь, что если стану обжаловать его, придется выплачивать убийцам моей дочери еще больше денег"".","Mat' pogibshej potrebovala s bol'nitsy million kron — v kachestve kompensatsii za moral'nyj uscherb, prichinennyj ej i dvum ostavshimsja sirotami detjam pokojnoj. V kontse proshloj nedeli Viruskij uezdnyj sud ostavil isk Niny Zeleninoj bez udovletvorenija.Krome togo, ona dolzhna vyplatit' Narvskoj bol'nitse 25 tysjach kron. 29 oktjabrja 2003 goda v Narvskoj bol'nitse Viktorija rodila syna Artura — rody proshli uspeshno, i zhenschina chuvstvovala sebja horosho. Vrach, prinimavshij rody, dal ukazanie medsestre Ol'ge Zakirovoj vvesti rozhenitse vnutrivenno rastvor gljukozy. Medsestra po oshibke vvela Zeleninoj rastvor hlorida kalija, posle chego mgnovenno nastupila klinicheskaja smert'.30 janvarja 2004 goda Narvskij gorodskoj sud priznal Zakirovu vinovnoj v prichinenii smerti po neostorozhnosti i nakazal dvumja godami lishenija svobody uslovno. Mat' Viktorii 52-letnjaja Nina javljaetsja opekunom trehletnego Artura i shestiletnej Sashi Zeleninyh. Predstavljavshaja Zeleninu v sude Evgenija Tushinskaja obosnovala isk o vozmeschenii nematerial'nogo uscherba tem, chto sem'ja poterjala blizkogo i ljubimogo cheloveka, a deti pogibshej po vine bol'nitsy lishilis' materinskoj zaboty. Takzhe mat' sil'nee perezhivala utratu iz-za togo, chto Viktorija, po slovam nekotoryh svidetelej, posle oshibochnogo vvedenija lekarstva zhila esche v techenie chasa i vse eto vremja ispytyvala sil'nuju muchitel'nuju bol'. Vyraziv glubokoe soboleznovanie materi i detjam Viktorii i ponimanie togo, naskol'ko tragichnym sobytiem dlja nih javljaetsja smert' patsientki, Narvskaja bol'nitsa otkazalas' vozmeschat' im uscherb. A takzhe potrebovala vzyskat' s Niny, Artura i Aleksandry Zeleninyh ponesennye bol'nitsej rashody na pravovuju zaschitu v summe 61 710 kron. 
Vrachi Narvskoj bol'nitsy zasvidetel'stvovali sudu, chto Viktorija ne mogla stradat' v techenie chasa posle ukola, tak kak vvedenie nevernogo preparata privelo k mgnovennoj smerti patsientki. V techenie chasa posle klinicheskoj smerti vrachi provodili reanimatsionnye meroprijatija, ne davshie rezul'tata, posle chego zafiksirovali smert' ofitsial'no. Sud soglasilsja s dovodami zaschitnika bol'nitsy — pomoschnikom prisjazhnogo advokata Ingeri Lujkom, chto isttsy nikak ne podtverdili dokumental'no nalichie moral'nyh stradanij i togo, chto perezhitoe ostavilo suschestvennyj sled i povleklo izmenenija v ih lichnosti. 
Sud otmetil, chto sama po sebe smert' blizkogo cheloveka ne daet osnovanij trebovat' denezhnoj kompensatsii za nematerial'nyj uscherb — soglasno zakonu o dolgovom prave, eto vozmozhno lish' pri uslovii iskljuchitel'nyh obstojatel'stv. No v dannom sluchae takih obstojatel'stv sud ne usmatrivaet: obychnymi javljajutsja stradanija ljudej pri utrate blizkih, obychnym — i to, chto molodye ljudi ne umirajut estestvennym putem, obychnym — chto v rezul'tate smerti ljudej takogo vozrasta, kak Viktorija, ostajutsja sirotami malen'kie deti. Sud ostavil bez udovletvorenija isk o vozmeschenii nematerial'nogo uscherba i schel obosnovannym trebovanie Narvskoj bol'nitsy vzyskat' s Zeleninyh 25 tysjach kron za ponesennye bol'nitsej rashody na pravovuju pomosch'. Nina Zelenina skazala ""Severnomu poberezh'ju"", chto ne stanet obzhalovat' sudebnoe reshenie, hotja ne predstavljaet, kak smozhet so svoej pensii i detskih posobij vyplatit' 25 tysjach kron. ""Bojus', chto esli stanu obzhalovat' ego, pridetsja vyplachivat' ubijtsam moej docheri esche bol'she deneg""."
"На праздновании дня рождения Летной гавани в первый и последний раз было показано масштабное мультимедийное шоу Саши Пепеляева ""Любовь и технический прогресс"". В конце представления на воду была спущена подводная лодка. Это копия первой построенной в Эстонии подводной лодки, которую военный инженер Оттомар Герн успешно испытал в Таллинне в 1854 году.Праздничная программа продолжится в музее и в воскресенье. ""Мы чувствуем оживление, потому что раньше мы действительно никогда не строили подводную лодку, и в Эстонии подводную лодку последний раз строили почти 100 лет назад"", - сказал директор Морского музея Урмас Дресен.","Na prazdnovanii dnja rozhdenija Letnoj gavani v pervyj i poslednij raz bylo pokazano masshtabnoe mul'timedijnoe shou Sashi Pepeljaeva ""Ljubov' i tehnicheskij progress"". V kontse predstavlenija na vodu byla spuschena podvodnaja lodka. Eto kopija pervoj postroennoj v Estonii podvodnoj lodki, kotoruju voennyj inzhener Ottomar Gern uspeshno ispytal v Tallinne v 1854 godu.Prazdnichnaja programma prodolzhitsja v muzee i v voskresen'e. ""My chuvstvuem ozhivlenie, potomu chto ran'she my dejstvitel'no nikogda ne stroili podvodnuju lodku, i v Estonii podvodnuju lodku poslednij raz stroili pochti 100 let nazad"", - skazal direktor Morskogo muzeja Urmas Dresen."
"30-летний Тикко попал в засаду примерно в одном километре от базы Пимон в неспокойной провинции Гильменд на юге Афганистана, сообщил пресс-секретарь главного штаба Сил обороны.Тикко и еще троих военнослужащих из Эстонии расстреляли из противотанкового гранатомета с 400 м. Один из сослуживцев фельдфебеля Тикко после оказания ему первой помощи был отпущен в часть, а еще двое — остаются под присмотром врачей.Майор Стен Рейманн сказал на пресс-конференции в понедельник, что боевые действия продолжались в течение всего воскресенья и возобновились в понедельник утром. Через три часа после трагических событий операция была окончена.Эстония принимает участие в операциях НАТО в Афганистане с 2003 года, на данный момент там находится примерно 150 военнослужащих из Эстонии.Президент Эстонии Тоомас Хендрик Ильвес выразил соболезнования родным и близким Аллайна Тикко: ""Пожалуйста, примите мои искренние соболезнования в связи с утратой сына, внука, спутника жизни и отца"". Ильвес отметил, что Тикко навсегда останется в нашей памяти, и мы обязаны не останавливаться на полпути в Афганистане, где Эстония вместе с другими членами НАТО борется за то, чтобы мир был безопаснее и лучше.var c = ""EESTI""; var _delfiVideoX = 420;var _delfiVideoY = 236;var _delfiVideoSalt = ""pwR5fekp"";_createDelfiVideo();В Министерстве обороны в понедельник была открыта книга соболезнований, где каждый желающий может оставить свои записи. Книга будет находится в фойе министерства до конца недели. Также соболезнования можно выразить на интернет-портале www.kmin.ee.На сегодняшний день в Ираке и Афганистане погибли шесть военнослужащих из Эстонии: Андрес Нуйамяэ, Арре Илленцеэр, Ивар Брок, Калле Торн, Яко Карукс и Аллайн Тикко.Данная новость закрыта для комментирования​ в целях исключения появления неподобающих комментариев.","30-letnij Tikko popal v zasadu primerno v odnom kilometre ot bazy Pimon v nespokojnoj provintsii Gil'mend na juge Afganistana, soobschil press-sekretar' glavnogo shtaba Sil oborony.Tikko i esche troih voennosluzhaschih iz Estonii rasstreljali iz protivotankovogo granatometa s 400 m. Odin iz sosluzhivtsev fel'dfebelja Tikko posle okazanija emu pervoj pomoschi byl otpuschen v chast', a esche dvoe — ostajutsja pod prismotrom vrachej.Major Sten Rejmann skazal na press-konferentsii v ponedel'nik, chto boevye dejstvija prodolzhalis' v techenie vsego voskresen'ja i vozobnovilis' v ponedel'nik utrom. Cherez tri chasa posle tragicheskih sobytij operatsija byla okonchena.Estonija prinimaet uchastie v operatsijah NATO v Afganistane s 2003 goda, na dannyj moment tam nahoditsja primerno 150 voennosluzhaschih iz Estonii.Prezident Estonii Toomas Hendrik Il'ves vyrazil soboleznovanija rodnym i blizkim Allajna Tikko: ""Pozhalujsta, primite moi iskrennie soboleznovanija v svjazi s utratoj syna, vnuka, sputnika zhizni i ottsa"". Il'ves otmetil, chto Tikko navsegda ostanetsja v nashej pamjati, i my objazany ne ostanavlivat'sja na polputi v Afganistane, gde Estonija vmeste s drugimi chlenami NATO boretsja za to, chtoby mir byl bezopasnee i luchshe.var c = ""EESTI""; var _delfiVideoX = 420;var _delfiVideoY = 236;var _delfiVideoSalt = ""pwR5fekp"";_createDelfiVideo();V Ministerstve oborony v ponedel'nik byla otkryta kniga soboleznovanij, gde kazhdyj zhelajuschij mozhet ostavit' svoi zapisi. Kniga budet nahoditsja v foje ministerstva do kontsa nedeli. Takzhe soboleznovanija mozhno vyrazit' na internet-portale www.kmin.ee.Na segodnjashnij den' v Irake i Afganistane pogibli shest' voennosluzhaschih iz Estonii: Andres Nujamjae, Arre Illentseer, Ivar Brok, Kalle Torn, Jako Karuks i Allajn Tikko.Dannaja novost' zakryta dlja kommentirovanija​ v tseljah iskljuchenija pojavlenija nepodobajuschih kommentariev."
"Приморская деревня ""Усадьба"" находится на берегу Черного моря. В ней будут проживать хоккеисты, фигуристы, конькобежцы и керлингисты.Горная деревня на горнолыжном курорте ""Роза Хутор"" рассчитана на 3000 мест. Ее обитатели - горнолыжники, сноубордисты, двоеборцы, прыгуны с трамплина и мастера фристайла.По соседству с лыжно-биатлонным комплексом ""Лаура"" построена горная деревня ""Усадьба"" на 1100 мест, в которой проживают биатлонисты и лыжники.Стандартный олимпийский номер рассчитан на двух человек. Президент МОК Томас Бах, посетивший места проживания спортсменов, выразил удовлетворение бытовыми условиями олимпийцев. ","Primorskaja derevnja ""Usad'ba"" nahoditsja na beregu Chernogo morja. V nej budut prozhivat' hokkeisty, figuristy, kon'kobezhtsy i kerlingisty.Gornaja derevnja na gornolyzhnom kurorte ""Roza Hutor"" rasschitana na 3000 mest. Ee obitateli - gornolyzhniki, snoubordisty, dvoebortsy, pryguny s tramplina i mastera fristajla.Po sosedstvu s lyzhno-biatlonnym kompleksom ""Laura"" postroena gornaja derevnja ""Usad'ba"" na 1100 mest, v kotoroj prozhivajut biatlonisty i lyzhniki.Standartnyj olimpijskij nomer rasschitan na dvuh chelovek. Prezident MOK Tomas Bah, posetivshij mesta prozhivanija sportsmenov, vyrazil udovletvorenie bytovymi uslovijami olimpijtsev. "
"""Биотуалет не работает, — сообщает один из читателей. — Прошлый раз ехал три месяца назад в этом же вагоне и туалет тоже не работал. Сейчас все осталось в таком же состоянии, бедная проводница устала извиняться и отправлять в соседние вагоны"".""К тому же, окна в купе не открываются, полотенца и простыни рваные, товары по каталогу не соответствуют действительности или отсутствуют вовсе. Что может подумать клиент о стране, садясь в такой поезд? Ведь это первое, что видят въезжающие к нам гости!"" — возмущается мужчина.Директор по развитию AS GoRail, которая и обслуживает этот маршрут, Йолан Шевцов сказал Delfi, что в фирму жалоб в отношении туалетов не поступало. ""Нам подобных жалоб не поступало. Однако в ходе эксплуатации туалетов иногда случается, что пассажир бросает в унитаз посторонний мусор, вследствие чего образуется засор. В таком случае туалет чистится по прибытию в пункт назначения. В то же время биотуалеты имеются и в других вагонах, так что в большинстве случаев пассажир не должен испытывать существенных неудобств"", — сказал он.","""Biotualet ne rabotaet, — soobschaet odin iz chitatelej. — Proshlyj raz ehal tri mesjatsa nazad v etom zhe vagone i tualet tozhe ne rabotal. Sejchas vse ostalos' v takom zhe sostojanii, bednaja provodnitsa ustala izvinjat'sja i otpravljat' v sosednie vagony"".""K tomu zhe, okna v kupe ne otkryvajutsja, polotentsa i prostyni rvanye, tovary po katalogu ne sootvetstvujut dejstvitel'nosti ili otsutstvujut vovse. Chto mozhet podumat' klient o strane, sadjas' v takoj poezd? Ved' eto pervoe, chto vidjat v'ezzhajuschie k nam gosti!"" — vozmuschaetsja muzhchina.Direktor po razvitiju AS GoRail, kotoraja i obsluzhivaet etot marshrut, Jolan Shevtsov skazal Delfi, chto v firmu zhalob v otnoshenii tualetov ne postupalo. ""Nam podobnyh zhalob ne postupalo. Odnako v hode ekspluatatsii tualetov inogda sluchaetsja, chto passazhir brosaet v unitaz postoronnij musor, vsledstvie chego obrazuetsja zasor. V takom sluchae tualet chistitsja po pribytiju v punkt naznachenija. V to zhe vremja biotualety imejutsja i v drugih vagonah, tak chto v bol'shinstve sluchaev passazhir ne dolzhen ispytyvat' suschestvennyh neudobstv"", — skazal on."
"Скульптура представляет собой сидящего на скамейке Рональда Рейгана, при этом слева от него оставлено место, где может присесть любой желающий и сфотографироваться с бывшим американским президентом. На памятнике на грузинском и английском языках выгравирована цитата из речи Рейгана: ""Каждое поколение должно заботиться о сохранении свободы"". Как передает Газета.Ru со ссылкой на грузинские СМИ, установление памятника Рейгану приурочено к 20-летию распада СССР.Как сообщалось ранее, в июле в центре Лондона был открыт памятник Рональду Рейгану. На подножии памятника запечатлено одно из высказываний экс-президента США: ""Свобода никогда не находится более чем в одном поколении от вымирания"".Рональд Рейган возглавлял американскую администрацию с 1981 по 1989 год. За время двух президентских сроков он принял целый ряд успешных экономических мер, вошедших в историю под названием ""рейганомика"", и заложил основы политики ""разрядки"", которая привела к окончанию холодной войны. В 1994 году Рейган прекратил публичную деятельность, сообщив, что у него обнаружена болезнь Альцгеймера.В мае 2005 года телекомпания CNN и журнал Time объявили Рейгана самым удивительным человеком за последние 25 лет. Он удостоился такой чести за то, что заставил американцев испытывать гордость за свою страну.Бывший президент США Рональд Рейган был назван величайшим американцем всех времен. Таковы результаты голосования, проведенного телеканалом Discovery и компанией AOL.","Skul'ptura predstavljaet soboj sidjaschego na skamejke Ronal'da Rejgana, pri etom sleva ot nego ostavleno mesto, gde mozhet prisest' ljuboj zhelajuschij i sfotografirovat'sja s byvshim amerikanskim prezidentom. Na pamjatnike na gruzinskom i anglijskom jazykah vygravirovana tsitata iz rechi Rejgana: ""Kazhdoe pokolenie dolzhno zabotit'sja o sohranenii svobody"". Kak peredaet Gazeta.Ru so ssylkoj na gruzinskie SMI, ustanovlenie pamjatnika Rejganu priurocheno k 20-letiju raspada SSSR.Kak soobschalos' ranee, v ijule v tsentre Londona byl otkryt pamjatnik Ronal'du Rejganu. Na podnozhii pamjatnika zapechatleno odno iz vyskazyvanij eks-prezidenta SShA: ""Svoboda nikogda ne nahoditsja bolee chem v odnom pokolenii ot vymiranija"".Ronal'd Rejgan vozglavljal amerikanskuju administratsiju s 1981 po 1989 god. Za vremja dvuh prezidentskih srokov on prinjal tselyj rjad uspeshnyh ekonomicheskih mer, voshedshih v istoriju pod nazvaniem ""rejganomika"", i zalozhil osnovy politiki ""razrjadki"", kotoraja privela k okonchaniju holodnoj vojny. V 1994 godu Rejgan prekratil publichnuju dejatel'nost', soobschiv, chto u nego obnaruzhena bolezn' Al'tsgejmera.V mae 2005 goda telekompanija CNN i zhurnal Time ob'javili Rejgana samym udivitel'nym chelovekom za poslednie 25 let. On udostoilsja takoj chesti za to, chto zastavil amerikantsev ispytyvat' gordost' za svoju stranu.Byvshij prezident SShA Ronal'd Rejgan byl nazvan velichajshim amerikantsem vseh vremen. Takovy rezul'taty golosovanija, provedennogo telekanalom Discovery i kompaniej AOL."
"Спасатели приступили к поискам 29-летнего мужчины, но найти его не получилось. К половине седьмого спасатели завершили поиски, продолжат работу водолазы. По словам друзей обоих мужчин, до того, как отправиться в воду, они выпили по паре бутылок пива, но не выглядели пьяными. Спасательный департамент напоминает, что и небольшое количество алкоголя влияет на моторику тела. У выпившего алкоголь человека нарушается координация и вода может внезапно попасть в дыхательные пути. Человек в панике не контролирует свои движения и может утонуть. Кроме того, спасатели напоминают, что при спасении нуждающегося в помощи следует убедиться в собственных силах и безопасности. Для купания луше подходят пляжи, где работает береговая охрана.","Spasateli pristupili k poiskam 29-letnego muzhchiny, no najti ego ne poluchilos'. K polovine sed'mogo spasateli zavershili poiski, prodolzhat rabotu vodolazy. Po slovam druzej oboih muzhchin, do togo, kak otpravit'sja v vodu, oni vypili po pare butylok piva, no ne vygljadeli p'janymi. Spasatel'nyj departament napominaet, chto i nebol'shoe kolichestvo alkogolja vlijaet na motoriku tela. U vypivshego alkogol' cheloveka narushaetsja koordinatsija i voda mozhet vnezapno popast' v dyhatel'nye puti. Chelovek v panike ne kontroliruet svoi dvizhenija i mozhet utonut'. Krome togo, spasateli napominajut, chto pri spasenii nuzhdajuschegosja v pomoschi sleduet ubedit'sja v sobstvennyh silah i bezopasnosti. Dlja kupanija lushe podhodjat pljazhi, gde rabotaet beregovaja ohrana."
"Пресс-служба правительства сообщила BNS, что условия проведения экзамена на знание Конституции и Закона о гражданстве Эстонии станут более гибкими. Проводящее экзамен учреждение будет назначать время и место экзамена, и экзамены больше не должны будут проводиться во всех экзаменационных пунктах в одно и то же время.Помимо этого будет создана возможность сдачи экзамена электронным путем. Также более будет не нужно для оценки сдачи экзамена формировать комиссию.Согласно проекту, ответы на вопросы будут вноситься в инфосистему, которая на вычислит результат экзамена.Постановление будет приведено в соответствие с положениями Закона об основной школе и гимназии, согласно которым начиная с 2013/2014 учебного года сдача экзамена на знание Конституции и Закона о гражданстве Эстонии не проводится в гимназиях как дополнение к государственному экзамену по обществоведению.","Press-sluzhba pravitel'stva soobschila BNS, chto uslovija provedenija ekzamena na znanie Konstitutsii i Zakona o grazhdanstve Estonii stanut bolee gibkimi. Provodjaschee ekzamen uchrezhdenie budet naznachat' vremja i mesto ekzamena, i ekzameny bol'she ne dolzhny budut provodit'sja vo vseh ekzamenatsionnyh punktah v odno i to zhe vremja.Pomimo etogo budet sozdana vozmozhnost' sdachi ekzamena elektronnym putem. Takzhe bolee budet ne nuzhno dlja otsenki sdachi ekzamena formirovat' komissiju.Soglasno proektu, otvety na voprosy budut vnosit'sja v infosistemu, kotoraja na vychislit rezul'tat ekzamena.Postanovlenie budet privedeno v sootvetstvie s polozhenijami Zakona ob osnovnoj shkole i gimnazii, soglasno kotorym nachinaja s 2013/2014 uchebnogo goda sdacha ekzamena na znanie Konstitutsii i Zakona o grazhdanstve Estonii ne provoditsja v gimnazijah kak dopolnenie k gosudarstvennomu ekzamenu po obschestvovedeniju."
"Говоря о том, что мужчин в Эстонии меньше, чем женщин, и с возрастом разница возрастает, так что в возрастной группе 50-60 лет на десять женщин приходится всего восемь мужчин, г-жа Ильвес напомнила, что общество осознает проблему и даже кое-что предпринимает для ее решения: проводятся различные кампании и программы. ""С некоторым упрощением можно сказать, что даже мировой финансовый кризис работает сейчас в интересах здоровья мужчин Эстонии: гонка за новыми и все более дорогими вещами хотя бы на время прекратилась, и вместо того чтобы, работая сверхурочно, обеспечивать возрастающую потребность в покупках, мужчина может заниматься детьми и сидеть дома. Или — как говорит статистика — каждый день проводить перед телевизором целых четыре часа…"", — сказала супруга президента, поздравляя отцов Эстонии.В этом высказывании г-жи Ильвес многие усмотрели оскорбление. Так, журналист эстонского Delfi напоминает президентской чете, что подавляющее большинство жителей Эстонии не имеют оплачиваемых за счет соотечественников квартир, летних резиденций, служителей, машин и хобби, а самое главное — гарантированного до конца жизни дохода.""Подавляющее большинство должно во имя этого по меньшей мере 40 часов в неделю ходить на работу. А если из-за падения экономики такой возможности не будет, то как это повлияет на человека?  Любой психолог подтвердит, что нежелательная потеря работы вызывает у человека стресс и напряжение. Озабоченный и нервный отец, потерявший работу из-за падения экономики, — не лучший вариант для детей. А какие чувства испытывали, слушая эту речь, только что потерявшие работу мужчины?""Журналисту вторят жители Вынну, в котором прекращают работу два крупных предприятия-работодателя. Лийна Суйтс рассуждает: ""Супруге президента не приходится жить с семьей на 4000-6000 крон в месяц, и она не переживает за свое будущее"", — пишет Õhtuleht.И жители Вынну Маре и Велло Метушал, воспитывающие двоих детей-школьников, были ""тронуты"" словами г-жи Ильвес. Их семья совсем не рада тому, что у безработных якобы остается больше времени на детей.
","Govorja o tom, chto muzhchin v Estonii men'she, chem zhenschin, i s vozrastom raznitsa vozrastaet, tak chto v vozrastnoj gruppe 50-60 let na desjat' zhenschin prihoditsja vsego vosem' muzhchin, g-zha Il'ves napomnila, chto obschestvo osoznaet problemu i dazhe koe-chto predprinimaet dlja ee reshenija: provodjatsja razlichnye kampanii i programmy. ""S nekotorym uproscheniem mozhno skazat', chto dazhe mirovoj finansovyj krizis rabotaet sejchas v interesah zdorov'ja muzhchin Estonii: gonka za novymi i vse bolee dorogimi veschami hotja by na vremja prekratilas', i vmesto togo chtoby, rabotaja sverhurochno, obespechivat' vozrastajuschuju potrebnost' v pokupkah, muzhchina mozhet zanimat'sja det'mi i sidet' doma. Ili — kak govorit statistika — kazhdyj den' provodit' pered televizorom tselyh chetyre chasa…"", — skazala supruga prezidenta, pozdravljaja ottsov Estonii.V etom vyskazyvanii g-zhi Il'ves mnogie usmotreli oskorblenie. Tak, zhurnalist estonskogo Delfi napominaet prezidentskoj chete, chto podavljajuschee bol'shinstvo zhitelej Estonii ne imejut oplachivaemyh za schet sootechestvennikov kvartir, letnih rezidentsij, sluzhitelej, mashin i hobbi, a samoe glavnoe — garantirovannogo do kontsa zhizni dohoda.""Podavljajuschee bol'shinstvo dolzhno vo imja etogo po men'shej mere 40 chasov v nedelju hodit' na rabotu. A esli iz-za padenija ekonomiki takoj vozmozhnosti ne budet, to kak eto povlijaet na cheloveka?  Ljuboj psiholog podtverdit, chto nezhelatel'naja poterja raboty vyzyvaet u cheloveka stress i naprjazhenie. Ozabochennyj i nervnyj otets, poterjavshij rabotu iz-za padenija ekonomiki, — ne luchshij variant dlja detej. A kakie chuvstva ispytyvali, slushaja etu rech', tol'ko chto poterjavshie rabotu muzhchiny?""Zhurnalistu vtorjat zhiteli Vynnu, v kotorom prekraschajut rabotu dva krupnyh predprijatija-rabotodatelja. Lijna Sujts rassuzhdaet: ""Supruge prezidenta ne prihoditsja zhit' s sem'ej na 4000-6000 kron v mesjats, i ona ne perezhivaet za svoe buduschee"", — pishet Õhtuleht.I zhiteli Vynnu Mare i Vello Metushal, vospityvajuschie dvoih detej-shkol'nikov, byli ""tronuty"" slovami g-zhi Il'ves. Ih sem'ja sovsem ne rada tomu, chto u bezrabotnyh jakoby ostaetsja bol'she vremeni na detej.
"
