body.lemmas,body.text
"в последнее время на рынке кредитных свопов , мировым центром которого является лондон , развернулась активная спекулятивная игра , рассчитанная на дефолт по госдолгу греции и ряда других стран ес . это подрывает кредитоспособность этих стран и мешает им привлечь новые займы для решения своих финансовых проблем . дефолтные свопы представляют собой вид финансовых страховых контрактов . покупатель такой ценной бумаги в обмен на выплату определенной суммы ( премии ) получает право на возмещение гораздо большей суммы в случае , если компания или государство , выпустившие облигации или взявшие кредит , оказываются неспособны погасить долг . чтобы приобрести кредитный своп , не обязательно владеть облигациями или выдавать кредит , от дефолта по которым он страхует . таким образом рынок этого вида финансовых инструментов носит крайне спекулятивный характер , превратившись в своего рода азартную игру . рынок свопов не контролируется ни государством , ни биржами . по оценкам , стоимость рынка дефолтных свопов по долгам государств и частного сектора ( общая сумма , на которую заключены страховые контракты ), составляет в сша $ 15,5 трлн ., что превышает ввп этой страны $ 14,2 трлн .). стоимость мирового рынка свопов составляет $ 60 трлн ., что превышает ввп всех стран мира $ 55,5 трлн . ), передает итар-тасс .","В последнее время на рынке кредитных свопов, мировым центром которого является Лондон, развернулась активная спекулятивная игра, рассчитанная на дефолт по госдолгу Греции и ряда других стран ЕС. Это подрывает кредитоспособность этих стран и мешает им привлечь новые займы для решения своих финансовых проблем.Дефолтные свопы представляют собой вид финансовых страховых контрактов. Покупатель такой ценной бумаги в обмен на выплату определенной суммы (премии) получает право на возмещение гораздо большей суммы в случае, если компания или государство, выпустившие облигации или взявшие кредит, оказываются неспособны погасить долг. Чтобы приобрести кредитный своп, не обязательно владеть облигациями или выдавать кредит, от дефолта по которым он страхует. Таким образом рынок этого вида финансовых инструментов носит крайне спекулятивный характер, превратившись в своего рода азартную игру.Рынок свопов не контролируется ни государством, ни биржами. По оценкам, стоимость рынка дефолтных свопов по долгам государств и частного сектора (общая сумма, на которую заключены страховые контракты), составляет в США $15,5 трлн., что превышает ВВП этой страны ($14,2 трлн.). Стоимость мирового рынка свопов составляет $60 трлн., что превышает ВВП всех стран мира ($55,5 трлн.), передает ИТАР-ТАСС."
"мать погибшей потребовала с больницы миллион крон - в качестве компенсации за моральный ущерб , причиненный ей и двум оставшимся сиротами детям покойной . в конце прошлой недели вируский уездный суд оставил иск нины зелениной без удовлетворения . кроме того , она должна выплатить нарвской больнице 25 тысяч крон . 29 октября 2003 года в нарвской больнице виктория родила сына артура - роды прошли успешно , и женщина чувствовала себя хорошо . врач , принимавший роды , дал указание медсестре ольге закировой ввести роженице внутривенно раствор глюкозы . медсестра по ошибке ввела зелениной раствор хлорида калия , после чего мгновенно наступила клиническая смерть . 30 января 2004 года нарвский городской суд признал закирову виновной в причинении смерти по неосторожности и наказал двумя годами лишения свободы условно . мать виктории 52-летняя нина является опекуном трехлетнего артура и шестилетней саши зелениных . представлявшая зеленину в суде евгения тушинская обосновала иск о возмещении нематериального ущерба тем , что семья потеряла близкого и любимого человека , а дети погибшей по вине больницы лишились материнской заботы . также мать сильнее переживала утрату из-за того , что виктория , по словам некоторых свидетелей , после ошибочного введения лекарства жила еще в течение часа и все это время испытывала сильную мучительную боль . выразив глубокое соболезнование матери и детям виктории и понимание того , насколько трагичным событием для них является смерть пациентки , нарвская больница отказалась возмещать им ущерб . а также потребовала взыскать с нины , артура и александры зелениных понесенные больницей расходы на правовую защиту в сумме 61 710 крон . врачи нарвской больницы засвидетельствовали суду , что виктория не могла страдать в течение часа после укола , так как введение неверного препарата привело к мгновенной смерти пациентки . в течение часа после клинической смерти врачи проводили реанимационные мероприятия , не давшие результата , после чего зафиксировали смерть официально . суд согласился с доводами защитника больницы - помощником присяжного адвоката ингери луйком , что истцы никак не подтвердили документально наличие моральных страданий и того , что пережитое оставило существенный след и повлекло изменения в их личности . суд отметил , что сама по себе смерть близкого человека не дает оснований требовать денежной компенсации за нематериальный ущерб - согласно закону о долговом праве , это возможно лишь при условии исключительных обстоятельств . но в данном случае таких обстоятельств суд не усматривает : обычными являются страдания людей при утрате близких , обычным - и то , что молодые люди не умирают естественным путем , обычным - что в результате смерти людей такого возраста , как виктория , остаются сиротами маленькие дети . суд оставил без удовлетворения иск о возмещении нематериального ущерба и счел обоснованным требование нарвской больницы взыскать с зелениных 25 тысяч крон за понесенные больницей расходы на правовую помощь . нина зеленина сказала "" северному побережью "", что не станет обжаловать судебное решение , хотя не представляет , как сможет со своей пенсии и детских пособий выплатить 25 тысяч крон . "" боюсь , что если стану обжаловать его , придется выплачивать убийцам моей дочери еще больше денег "".","Мать погибшей потребовала с больницы миллион крон — в качестве компенсации за моральный ущерб, причиненный ей и двум оставшимся сиротами детям покойной. В конце прошлой недели Вируский уездный суд оставил иск Нины Зелениной без удовлетворения.Кроме того, она должна выплатить Нарвской больнице 25 тысяч крон. 29 октября 2003 года в Нарвской больнице Виктория родила сына Артура — роды прошли успешно, и женщина чувствовала себя хорошо. Врач, принимавший роды, дал указание медсестре Ольге Закировой ввести роженице внутривенно раствор глюкозы. Медсестра по ошибке ввела Зелениной раствор хлорида калия, после чего мгновенно наступила клиническая смерть.30 января 2004 года Нарвский городской суд признал Закирову виновной в причинении смерти по неосторожности и наказал двумя годами лишения свободы условно. Мать Виктории 52-летняя Нина является опекуном трехлетнего Артура и шестилетней Саши Зелениных. Представлявшая Зеленину в суде Евгения Тушинская обосновала иск о возмещении нематериального ущерба тем, что семья потеряла близкого и любимого человека, а дети погибшей по вине больницы лишились материнской заботы. Также мать сильнее переживала утрату из-за того, что Виктория, по словам некоторых свидетелей, после ошибочного введения лекарства жила еще в течение часа и все это время испытывала сильную мучительную боль. Выразив глубокое соболезнование матери и детям Виктории и понимание того, насколько трагичным событием для них является смерть пациентки, Нарвская больница отказалась возмещать им ущерб. А также потребовала взыскать с Нины, Артура и Александры Зелениных понесенные больницей расходы на правовую защиту в сумме 61 710 крон. 
Врачи Нарвской больницы засвидетельствовали суду, что Виктория не могла страдать в течение часа после укола, так как введение неверного препарата привело к мгновенной смерти пациентки. В течение часа после клинической смерти врачи проводили реанимационные мероприятия, не давшие результата, после чего зафиксировали смерть официально. Суд согласился с доводами защитника больницы — помощником присяжного адвоката Ингери Луйком, что истцы никак не подтвердили документально наличие моральных страданий и того, что пережитое оставило существенный след и повлекло изменения в их личности. 
Суд отметил, что сама по себе смерть близкого человека не дает оснований требовать денежной компенсации за нематериальный ущерб — согласно закону о долговом праве, это возможно лишь при условии исключительных обстоятельств. Но в данном случае таких обстоятельств суд не усматривает: обычными являются страдания людей при утрате близких, обычным — и то, что молодые люди не умирают естественным путем, обычным — что в результате смерти людей такого возраста, как Виктория, остаются сиротами маленькие дети. Суд оставил без удовлетворения иск о возмещении нематериального ущерба и счел обоснованным требование Нарвской больницы взыскать с Зелениных 25 тысяч крон за понесенные больницей расходы на правовую помощь. Нина Зеленина сказала ""Северному побережью"", что не станет обжаловать судебное решение, хотя не представляет, как сможет со своей пенсии и детских пособий выплатить 25 тысяч крон. ""Боюсь, что если стану обжаловать его, придется выплачивать убийцам моей дочери еще больше денег""."
"на праздновании дня рождения летной гавани в первый и последний раз было показано масштабное мультимедийное шоу саши пепеляева "" любовь и технический прогресс "". в конце представления на воду была спущена подводная лодка . это копия первой построенной в эстонии подводной лодки , которую военный инженер оттомар герн успешно испытал в таллинне в 1854 году . праздничная программа продолжится в музее и в воскресенье . "" мы чувствуем оживление , потому что раньше мы действительно никогда не строили подводную лодку , и в эстонии подводную лодку последний раз строили почти 100 лет назад "", - сказал директор морского музея урмас дресен .","На праздновании дня рождения Летной гавани в первый и последний раз было показано масштабное мультимедийное шоу Саши Пепеляева ""Любовь и технический прогресс"". В конце представления на воду была спущена подводная лодка. Это копия первой построенной в Эстонии подводной лодки, которую военный инженер Оттомар Герн успешно испытал в Таллинне в 1854 году.Праздничная программа продолжится в музее и в воскресенье. ""Мы чувствуем оживление, потому что раньше мы действительно никогда не строили подводную лодку, и в Эстонии подводную лодку последний раз строили почти 100 лет назад"", - сказал директор Морского музея Урмас Дресен."
"30-летний тикко попал в засаду примерно в одном километре от базы пимон в неспокойной провинции гильменд на юге афганистана , сообщил пресс-секретарь главного штаба сил обороны . тикко и еще троих военнослужащих из эстонии расстреляли из противотанкового гранатомета с 400 м . один из сослуживцев фельдфебеля тикко после оказания ему первой помощи был отпущен в часть , а еще двое - остаются под присмотром врачей . майор стен рейманн сказал на пресс-конференции в понедельник , что боевые действия продолжались в течение всего воскресенья и возобновились в понедельник утром . через три часа после трагических событий операция была окончена . эстония принимает участие в операциях нато в афганистане с 2003 года , на данный момент там находится примерно 150 военнослужащих из эстонии . президент эстонии тоомас хендрик ильвес выразил соболезнования родным и близким аллайна тикко : "" пожалуйста , примите мои искренние соболезнования в связи с утратой сына , внука , спутника жизни и отца "". ильвес отметил , что тикко навсегда останется в нашей памяти , и мы обязаны не останавливаться на полпути в афганистане , где эстония вместе с другими членами нато борется за то , чтобы мир был безопаснее и лучше . var c = "" eesti ""; var delfivideox = 420 ; var delfivideoy = 236 ; var delfivideosa = "" pwr5fekp ""; createdelfivideo (); в министерстве обороны в понедельник была открыта книга соболезнований , где каждый желающий может оставить свои записи . книга будет находится в фойе министерства до конца недели . также соболезнования можно выразить на интернет-портале www.kmin.ee . на сегодняшний день в ираке и афганистане погибли шесть военнослужащих из эстонии : андрес нуйамяэ , арре илленцеэр , ивар брок , калле торн , яко карукс и аллайн тикко . данная новость закрыта для комментирования ​ в целях исключения появления неподобающих комментариев .","30-летний Тикко попал в засаду примерно в одном километре от базы Пимон в неспокойной провинции Гильменд на юге Афганистана, сообщил пресс-секретарь главного штаба Сил обороны.Тикко и еще троих военнослужащих из Эстонии расстреляли из противотанкового гранатомета с 400 м. Один из сослуживцев фельдфебеля Тикко после оказания ему первой помощи был отпущен в часть, а еще двое — остаются под присмотром врачей.Майор Стен Рейманн сказал на пресс-конференции в понедельник, что боевые действия продолжались в течение всего воскресенья и возобновились в понедельник утром. Через три часа после трагических событий операция была окончена.Эстония принимает участие в операциях НАТО в Афганистане с 2003 года, на данный момент там находится примерно 150 военнослужащих из Эстонии.Президент Эстонии Тоомас Хендрик Ильвес выразил соболезнования родным и близким Аллайна Тикко: ""Пожалуйста, примите мои искренние соболезнования в связи с утратой сына, внука, спутника жизни и отца"". Ильвес отметил, что Тикко навсегда останется в нашей памяти, и мы обязаны не останавливаться на полпути в Афганистане, где Эстония вместе с другими членами НАТО борется за то, чтобы мир был безопаснее и лучше.var c = ""EESTI""; var _delfiVideoX = 420;var _delfiVideoY = 236;var _delfiVideoSalt = ""pwR5fekp"";_createDelfiVideo();В Министерстве обороны в понедельник была открыта книга соболезнований, где каждый желающий может оставить свои записи. Книга будет находится в фойе министерства до конца недели. Также соболезнования можно выразить на интернет-портале www.kmin.ee.На сегодняшний день в Ираке и Афганистане погибли шесть военнослужащих из Эстонии: Андрес Нуйамяэ, Арре Илленцеэр, Ивар Брок, Калле Торн, Яко Карукс и Аллайн Тикко.Данная новость закрыта для комментирования​ в целях исключения появления неподобающих комментариев."
"приморская деревня "" усадьба "" находится на берегу черного моря . в ней будут проживать хоккеисты , фигуристы , конькобежцы и керлингисты . горная деревня на горнолыжном курорте "" роза хутор "" рассчитана на 3000 мест . ее обитатели - горнолыжники , сноубордисты , двоеборцы , прыгуны с трамплина и мастера фристайла . по соседству с лыжно-биатлонным комплексом "" лаура "" построена горная деревня "" усадьба "" на 1100 мест , в которой проживают биатлонисты и лыжники . стандартный олимпийский номер рассчитан на двух человек . президент мок томас бах , посетивший места проживания спортсменов , выразил удовлетворение бытовыми условиями олимпийцев .","Приморская деревня ""Усадьба"" находится на берегу Черного моря. В ней будут проживать хоккеисты, фигуристы, конькобежцы и керлингисты.Горная деревня на горнолыжном курорте ""Роза Хутор"" рассчитана на 3000 мест. Ее обитатели - горнолыжники, сноубордисты, двоеборцы, прыгуны с трамплина и мастера фристайла.По соседству с лыжно-биатлонным комплексом ""Лаура"" построена горная деревня ""Усадьба"" на 1100 мест, в которой проживают биатлонисты и лыжники.Стандартный олимпийский номер рассчитан на двух человек. Президент МОК Томас Бах, посетивший места проживания спортсменов, выразил удовлетворение бытовыми условиями олимпийцев. "
""" биотуалет не работает , - сообщает один из читателей . - прошлый раз ехал три месяца назад в этом же вагоне и туалет тоже не работал . сейчас все осталось в таком же состоянии , бедная проводница устала извиняться и отправлять в соседние вагоны "". "" к тому же , окна в купе не открываются , полотенца и простыни рваные , товары по каталогу не соответствуют действительности или отсутствуют вовсе . что может подумать клиент о стране , садясь в такой поезд ? ведь это первое , что видят въезжающие к нам гости ! "" - возмущается мужчина . директор по развитию as gorai , которая и обслуживает этот маршрут , йолан шевцов сказал delfi , что в фирму жалоб в отношении туалетов не поступало . "" нам подобных жалоб не поступало . однако в ходе эксплуатации туалетов иногда случается , что пассажир бросает в унитаз посторонний мусор , вследствие чего образуется засор . в таком случае туалет чистится по прибытию в пункт назначения . в то же время биотуалеты имеются и в других вагонах , так что в большинстве случаев пассажир не должен испытывать существенных неудобств "", - сказал он .","""Биотуалет не работает, — сообщает один из читателей. — Прошлый раз ехал три месяца назад в этом же вагоне и туалет тоже не работал. Сейчас все осталось в таком же состоянии, бедная проводница устала извиняться и отправлять в соседние вагоны"".""К тому же, окна в купе не открываются, полотенца и простыни рваные, товары по каталогу не соответствуют действительности или отсутствуют вовсе. Что может подумать клиент о стране, садясь в такой поезд? Ведь это первое, что видят въезжающие к нам гости!"" — возмущается мужчина.Директор по развитию AS GoRail, которая и обслуживает этот маршрут, Йолан Шевцов сказал Delfi, что в фирму жалоб в отношении туалетов не поступало. ""Нам подобных жалоб не поступало. Однако в ходе эксплуатации туалетов иногда случается, что пассажир бросает в унитаз посторонний мусор, вследствие чего образуется засор. В таком случае туалет чистится по прибытию в пункт назначения. В то же время биотуалеты имеются и в других вагонах, так что в большинстве случаев пассажир не должен испытывать существенных неудобств"", — сказал он."
"скульптура представляет собой сидящего на скамейке рональда рейгана , при этом слева от него оставлено место , где может присесть любой желающий и сфотографироваться с бывшим американским президентом . на памятнике на грузинском и английском языках выгравирована цитата из речи рейгана : "" каждое поколение должно заботиться о сохранении свободы "". как передает газета . ru со ссылкой на грузинские сми , установление памятника рейгану приурочено к 20-летию распада ссср . как сообщалось ранее , в июле в центре лондона был открыт памятник рональду рейгану . на подножии памятника запечатлено одно из высказываний экс-президента сша : "" свобода никогда не находится более чем в одном поколении от вымирания "". рональд рейган возглавлял американскую администрацию с 1981 по 1989 год . за время двух президентских сроков он принял целый ряд успешных экономических мер , вошедших в историю под названием "" рейганомика "", и заложил основы политики "" разрядки "", которая привела к окончанию холодной войны . в 1994 году рейган прекратил публичную деятельность , сообщив , что у него обнаружена болезнь альцгеймера . в мае 2005 года телекомпания cnn и журнал tim объявили рейгана самым удивительным человеком за последние 25 лет . он удостоился такой чести за то , что заставил американцев испытывать гордость за свою страну . бывший президент сша рональд рейган был назван величайшим американцем всех времен . таковы результаты голосования , проведенного телеканалом discovery и компанией agu .","Скульптура представляет собой сидящего на скамейке Рональда Рейгана, при этом слева от него оставлено место, где может присесть любой желающий и сфотографироваться с бывшим американским президентом. На памятнике на грузинском и английском языках выгравирована цитата из речи Рейгана: ""Каждое поколение должно заботиться о сохранении свободы"". Как передает Газета.Ru со ссылкой на грузинские СМИ, установление памятника Рейгану приурочено к 20-летию распада СССР.Как сообщалось ранее, в июле в центре Лондона был открыт памятник Рональду Рейгану. На подножии памятника запечатлено одно из высказываний экс-президента США: ""Свобода никогда не находится более чем в одном поколении от вымирания"".Рональд Рейган возглавлял американскую администрацию с 1981 по 1989 год. За время двух президентских сроков он принял целый ряд успешных экономических мер, вошедших в историю под названием ""рейганомика"", и заложил основы политики ""разрядки"", которая привела к окончанию холодной войны. В 1994 году Рейган прекратил публичную деятельность, сообщив, что у него обнаружена болезнь Альцгеймера.В мае 2005 года телекомпания CNN и журнал Time объявили Рейгана самым удивительным человеком за последние 25 лет. Он удостоился такой чести за то, что заставил американцев испытывать гордость за свою страну.Бывший президент США Рональд Рейган был назван величайшим американцем всех времен. Таковы результаты голосования, проведенного телеканалом Discovery и компанией AOL."
"спасатели приступили к поискам 29-летнего мужчины , но найти его не получилось . к половине седьмого спасатели завершили поиски , продолжат работу водолазы . по словам друзей обоих мужчин , до того , как отправиться в воду , они выпили по паре бутылок пива , но не выглядели пьяными . спасательный департамент напоминает , что и небольшое количество алкоголя влияет на моторику тела . у выпившего алкоголь человека нарушается координация и вода может внезапно попасть в дыхательные пути . человек в панике не контролирует свои движения и может утонуть . кроме того , спасатели напоминают , что при спасении нуждающегося в помощи следует убедиться в собственных силах и безопасности . для купания луше подходят пляжи , где работает береговая охрана .","Спасатели приступили к поискам 29-летнего мужчины, но найти его не получилось. К половине седьмого спасатели завершили поиски, продолжат работу водолазы. По словам друзей обоих мужчин, до того, как отправиться в воду, они выпили по паре бутылок пива, но не выглядели пьяными. Спасательный департамент напоминает, что и небольшое количество алкоголя влияет на моторику тела. У выпившего алкоголь человека нарушается координация и вода может внезапно попасть в дыхательные пути. Человек в панике не контролирует свои движения и может утонуть. Кроме того, спасатели напоминают, что при спасении нуждающегося в помощи следует убедиться в собственных силах и безопасности. Для купания луше подходят пляжи, где работает береговая охрана."
"пресс-служба правительства сообщила bns , что условия проведения экзамена на знание конституции и закона о гражданстве эстонии станут более гибкими . проводящее экзамен учреждение будет назначать время и место экзамена , и экзамены больше не должны будут проводиться во всех экзаменационных пунктах в одно и то же время . помимо этого будет создана возможность сдачи экзамена электронным путем . также более будет не нужно для оценки сдачи экзамена формировать комиссию . согласно проекту , ответы на вопросы будут вноситься в инфосистему , которая на вычислит результат экзамена . постановление будет приведено в соответствие с положениями закона об основной школе и гимназии , согласно которым начиная с 2013/2014 учебного года сдача экзамена на знание конституции и закона о гражданстве эстонии не проводится в гимназиях как дополнение к государственному экзамену по обществоведению .","Пресс-служба правительства сообщила BNS, что условия проведения экзамена на знание Конституции и Закона о гражданстве Эстонии станут более гибкими. Проводящее экзамен учреждение будет назначать время и место экзамена, и экзамены больше не должны будут проводиться во всех экзаменационных пунктах в одно и то же время.Помимо этого будет создана возможность сдачи экзамена электронным путем. Также более будет не нужно для оценки сдачи экзамена формировать комиссию.Согласно проекту, ответы на вопросы будут вноситься в инфосистему, которая на вычислит результат экзамена.Постановление будет приведено в соответствие с положениями Закона об основной школе и гимназии, согласно которым начиная с 2013/2014 учебного года сдача экзамена на знание Конституции и Закона о гражданстве Эстонии не проводится в гимназиях как дополнение к государственному экзамену по обществоведению."
"говоря о том , что мужчин в эстонии меньше , чем женщин , и с возрастом разница возрастает , так что в возрастной группе 50-60 лет на десять женщин приходится всего восемь мужчин , г-жа ильвес напомнила , что общество осознает проблему и даже кое-что предпринимает для ее решения : проводятся различные кампании и программы . "" с некоторым упрощением можно сказать , что даже мировой финансовый кризис работает сейчас в интересах здоровья мужчин эстонии : гонка за новыми и все более дорогими вещами хотя бы на время прекратилась , и вместо того чтобы , работая сверхурочно , обеспечивать возрастающую потребность в покупках , мужчина может заниматься детьми и сидеть дома . или - как говорит статистика - каждый день проводить перед телевизором целых четыре часа … - сказала супруга президента , поздравляя отцов эстонии . в этом высказывании г-жи ильвес многие усмотрели оскорбление . так , журналист эстонского delfi напоминает президентской чете , что подавляющее большинство жителей эстонии не имеют оплачиваемых за счет соотечественников квартир , летних резиденций , служителей , машин и хобби , а самое главное - гарантированного до конца жизни дохода . "" подавляющее большинство должно во имя этого по меньшей мере 40 часов в неделю ходить на работу . а если из-за падения экономики такой возможности не будет , то как это повлияет на человека ? любой психолог подтвердит , что нежелательная потеря работы вызывает у человека стресс и напряжение . озабоченный и нервный отец , потерявший работу из-за падения экономики , - не лучший вариант для детей . а какие чувства испытывали , слушая эту речь , только что потерявшие работу мужчины ? "" журналисту вторят жители вынну , в котором прекращают работу два крупных предприятия-работодателя . лийна суйтс рассуждает : "" супруге президента не приходится жить с семьей на 4000-6000 крон в месяц , и она не переживает за свое будущее "", - пишет õhtuleht . и жители вынну маре и велло метушал , воспитывающие двоих детей-школьников , были "" тронуты "" словами г-жи ильвес . их семья совсем не рада тому , что у безработных якобы остается больше времени на детей .","Говоря о том, что мужчин в Эстонии меньше, чем женщин, и с возрастом разница возрастает, так что в возрастной группе 50-60 лет на десять женщин приходится всего восемь мужчин, г-жа Ильвес напомнила, что общество осознает проблему и даже кое-что предпринимает для ее решения: проводятся различные кампании и программы. ""С некоторым упрощением можно сказать, что даже мировой финансовый кризис работает сейчас в интересах здоровья мужчин Эстонии: гонка за новыми и все более дорогими вещами хотя бы на время прекратилась, и вместо того чтобы, работая сверхурочно, обеспечивать возрастающую потребность в покупках, мужчина может заниматься детьми и сидеть дома. Или — как говорит статистика — каждый день проводить перед телевизором целых четыре часа…"", — сказала супруга президента, поздравляя отцов Эстонии.В этом высказывании г-жи Ильвес многие усмотрели оскорбление. Так, журналист эстонского Delfi напоминает президентской чете, что подавляющее большинство жителей Эстонии не имеют оплачиваемых за счет соотечественников квартир, летних резиденций, служителей, машин и хобби, а самое главное — гарантированного до конца жизни дохода.""Подавляющее большинство должно во имя этого по меньшей мере 40 часов в неделю ходить на работу. А если из-за падения экономики такой возможности не будет, то как это повлияет на человека?  Любой психолог подтвердит, что нежелательная потеря работы вызывает у человека стресс и напряжение. Озабоченный и нервный отец, потерявший работу из-за падения экономики, — не лучший вариант для детей. А какие чувства испытывали, слушая эту речь, только что потерявшие работу мужчины?""Журналисту вторят жители Вынну, в котором прекращают работу два крупных предприятия-работодателя. Лийна Суйтс рассуждает: ""Супруге президента не приходится жить с семьей на 4000-6000 крон в месяц, и она не переживает за свое будущее"", — пишет Õhtuleht.И жители Вынну Маре и Велло Метушал, воспитывающие двоих детей-школьников, были ""тронуты"" словами г-жи Ильвес. Их семья совсем не рада тому, что у безработных якобы остается больше времени на детей.
"
